Bill No.,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Introduction Proper,Date of Passing in Lok Sabha,Date of Passing in Lok Sabha Proper,Date of Passing in Rajya Sabha,Date of Passing in Rajya Sabha Proper,Diff RS-LS,Diff RS-LS Cleaned,Date of Assent,Date of Assent Proper,Diff Ass-LS,Diff Ass-LS Clean,Act No.,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
40,1991,"The Assam Appropriation (No. 2) Bill, 1991                                                                                                                                                              ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,22,Money Bill,Passed                        ,NA,NA,NA
41,1991,"The Jammu and Kashmir Appropriation (Vote on Account)  Bill, 1991                                                                                                                                       ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,23,Money Bill,Passed                        ,NA,NA,NA
42,1991,"The Jammu and Kashmir Appropriation No. 2 Bill, 1991                                                                                                                                                    ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,24,Money Bill,Passed                        ,NA,NA,NA
43,1991,"The Tamil Nadu Appropriation (Vote on Account) Bill, 1991                                                                                                                                               ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,25,Money Bill,Passed                        ,NA,NA,NA
44,1991,"The Tamil Nadu Appropriation Bill, 1991                                                                                                                                                                 ",NA,3/11/1991,3/11/1991,NA,NA,NA,NA,NA,0,14-03-1991,3/14/1991,NA,0,26,Money Bill,Passed                        ,NA,NA,NA
45,1991,"The Pondicherry Appropriation (Vote on Account) Bill, 1991                                                                                                                                              ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,27,Money Bill,Passed                        ,NA,NA,NA
46,1991,"The Pondicherry Appropriation Bill, 1991                                                                                                                                                                ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,28,Money Bill,Passed                        ,NA,NA,NA
47,1991,"The Appropriation (No. 3) Bill, 1991                                                                                                                                                                    ",NA,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,14-03-1991,3/14/1991,3,3,17,Money Bill,Passed                        ,NA,NA,NA
48,1991,"The Constitution (Seventy-fifth Amendment) Bill, 1991                                                                                                                                                   ",HOME AFFAIRS,3/11/1991,3/11/1991,3/11/1991,3/11/1991,NA,NA,NA,0,3/12/1991,3/12/1991,1,1,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
49,1991,"The Salary, Allowances and Pension of Members of Parliament (Second Amendment) Bill, 1991                                                                                                               ",PARLIAMENTARY  AFFAIRS,3/12/1991,3/12/1991,3/12/1991,3/12/1991,NA,NA,NA,0,NA,NA,NA,0,                    ,Money Bill,Passed                        ,NA,NA,NA
73,1991,"The Appropriation (Railways) No. 3 Bill, 1991                                                                                                                                                           ",RAILWAYS,25-07-1991,7/25/1991,25-07-1991,7/25/1991,26-07-1991,7/26/1991,1,1,30-07-1991,7/30/1991,5,5,29,Money Bill,Passed                        ,NA,NA,NA
75,1991,"The Finance (No.2) Bill, 1991                                                                                                                                                                           ",NA,24-07-1991,7/24/1991,14-09-1991,9/14/1991,18-09-1991,9/18/1991,4,4,27-09-1991,9/27/1991,13,13,49,Money Bill,NA,NA,NA,NA
76,1991,"The Code of Criminal Procedure (Amendment) Bill, 1991                                                                                                                                                   ",HOME AFFAIRS,25-07-1991,7/25/1991,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
77,1991,"The Delhi Municipal Laws (Amendment) Bill, 1991                                                                                                                                                         ",HOME AFFAIRS,29-07-1991,7/29/1991,6/8/1991,6/8/1991,7/8/1991,7/8/1991,30,30,16-08-1991,8/16/1991,69,69,32,Ordinary Bill,Passed                        ,NA,NA,NA
78,1991,"The Terrorist and Disruptive Activities (Prevention) Amendment Bill, 1991                                                                                                                               ",HOME AFFAIRS,29-07-1991,7/29/1991,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,Withdrawn                     ,NA,NA,NA
79,1991,"The Jammu and Kashmir Criminal Law Amendment (Second Amendment) Bill, 1991                                                                                                                              ",HOME AFFAIRS,29-07-1991,7/29/1991,6/8/1991,6/8/1991,7/8/1991,7/8/1991,30,30,16-08-1991,8/16/1991,69,69,33,Ordinary Bill,Passed                        ,NA,NA,NA
89,1991,"The Appropriation (Vote on Account) Bill, 1991                                                                                                                                                          ",NA,29-07-1991,7/29/1991,29-07-1991,7/29/1991,30-07-1991,7/30/1991,1,1,31-07-1991,7/31/1991,2,2,30,Money Bill,Passed                        ,NA,NA,NA
111,1991,"The Constitution (Scheduled Tribes) Order (Second Amendment) Bill, 1991                                                                                                                                 ",NA,14-08-1991,8/14/1991,19-08-1991,8/19/1991,26-08-1991,8/26/1991,7,7,17-09-1991,9/17/1991,29,29,39,Ordinary Bill,Passed                        ,NA,NA,NA
112,1991,"The Central Excise and Customs Laws (Amendment) Bill, 1991                                                                                                                                              ",NA,22-08-1991,8/22/1991,10/9/1991,10/9/1991,13-09-1991,9/13/1991,-26,0,18-09-1991,9/18/1991,-21,0,40,Money Bill,Passed                        ,NA,NA,NA
124,1991,"The Places of Worship (Special Provisions) Bill, 1991                                                                                                                                                   ",HOME AFFAIRS,23-08-1991,8/23/1991,10/9/1991,10/9/1991,12/9/1991,12/9/1991,61,61,19-09-1991,9/19/1991,-20,0,42,Ordinary Bill,Passed                        ,NA,NA,NA
134,1991,"The Special Protection Group (Amendment) Bill, 1991                                                                                                                                                     ",HOME AFFAIRS,26-08-1991,8/26/1991,11/9/1991,11/9/1991,14-09-1991,9/14/1991,-56,0,25-09-1991,9/25/1991,-45,0,48,Ordinary Bill,Passed                        ,NA,NA,NA
141,1991,"The Punjab Appropriation (Vote on Account) No.2 Bill, 1991                                                                                                                                              ",NA,16-09-1991,9/16/1991,16-09-1991,9/16/1991,17-09-1991,9/17/1991,1,1,20-09-1991,9/20/1991,4,4,45,Money Bill,Passed                        ,NA,NA,NA
142,1991,"The Remittances of Foreign Exchange and Investment in Foreign Exchange Bonds (Immunities and Exemptions) Bill, 1991                                                                                     ",NA,3/9/1991,3/9/1991,11/9/1991,11/9/1991,14-09-1991,9/14/1991,-56,0,18-09-1991,9/18/1991,-52,0,41,Money Bill,Passed                        ,NA,NA,NA
143,1991,"The Water (Prevention and Control of Pollution) Cess (Amendment) Bill, 1991                                                                                                                             ",ENVIRONMENT AND FORESTS,3/9/1991,3/9/1991,28-11-1991,11/28/1991,11/12/1991,11/12/1991,-16,0,16-12-1991,12/16/1991,18,18,53,Money Bill,Passed                        ,NA,NA,NA
144,1991,"The Jammu and Kashmir Appropriation (No.3) Bill, 1991                                                                                                                                                   ",NA,14-09-1991,9/14/1991,14-09-1991,9/14/1991,18-09-1991,9/18/1991,4,4,20-09-1991,9/20/1991,6,6,46,Ordinary Bill,Passed                        ,NA,NA,NA
146,1991,"The Appropriation (No.4) Bill, 1991                                                                                                                                                                     ",NA,5/9/1991,5/9/1991,5/9/1991,5/9/1991,10/9/1991,10/9/1991,153,153,14-09-1991,9/14/1991,128,128,37,Money Bill,Passed                        ,NA,NA,NA
151,1991,"The Voluntary Deposits (Immunities and Exemptions) Bill, 1991                                                                                                                                           ",NA,9/9/1991,9/9/1991,14-09-1991,9/14/1991,18-09-1991,9/18/1991,4,4,20-09-1991,9/20/1991,6,6,47,Money Bill,Passed                        ,NA,NA,NA
152,1991,"The Electricity Laws (Amendment) Bill, 1991                                                                                                                                                             ",POWER,9/9/1991,9/9/1991,17-09-1991,9/17/1991,18-09-1991,9/18/1991,1,1,27-09-1991,9/27/1991,10,10,50,Ordinary Bill,Passed                        ,NA,NA,NA
154,1991,"The Public Debt (Amendment) Bill, 1991                                                                                                                                                                  ",NA,9/9/1991,9/9/1991,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,Lapsed                        ,NA,NA,NA
155,1991,"The Pre-Natal Diagnostic Techniques (Regulation and Prevention of Misuse) Bill, 1991                                                                                                                    ",HEALTH AND FAMILY WELFARE,12/9/1991,12/9/1991,26-07-1994,7/26/1994,4/8/1994,4/8/1994,-109,0,20-09-1994,9/20/1994,56,56,57,Ordinary Bill,Passed                        ,NA,NA,NA
156,1991,"The Cencellation of General Elections in Punjab Bill, 1991                                                                                                                                              ",NA,12/9/1991,12/9/1991,16-09-1991,9/16/1991,17-09-1991,9/17/1991,1,1,17-09-1991,9/17/1991,1,1,38,Ordinary Bill,Passed                        ,NA,NA,NA
158,1991,"The Constitution (Seventy-second Amendment) Bill, 1991 (Insertion of New Part IX)                                                                                                                       ",RURAL DEVELOPMENT,16-09-1991,9/16/1991,22-12-1992,12/22/1992,23-12-1992,12/23/1992,1,1,20-04-1993,4/20/1993,119,119,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
159,1991,"The Constitution (Seventy-third Amendment) Bill, 1991 (Insertion of New Part IXA)                                                                                                                       ",NA,16-09-1991,9/16/1991,22-12-1992,12/22/1992,23-12-1992,12/23/1992,1,1,20-04-1993,4/20/1993,119,119,                    ,Constitutional Amendment Bill,Passed                        ,NA,NA,NA
182,1991,"The Sick Industrial Companies (Special Provisions) Amendment Bill, 1991                                                                                                                                 ",NA,20-11-1991,11/20/1991,4/12/1991,4/12/1991,20-12-1991,12/20/1991,252,252,28-12-1991,12/28/1991,260,260,57,Ordinary Bill,Passed                        ,NA,NA,NA
183,1991,"The Tea Companies (Acquisition and Transfer and Transfer of Sick Tea Units) Amendment Bill, 1991                                                                                                        ",NA,22-11-1991,11/22/1991,29-11-1991,11/29/1991,11/12/1991,11/12/1991,-17,0,24-12-1991,12/24/1991,25,25,56,Ordinary Bill,Passed                        ,NA,NA,NA
184,1991,"The Banking Regulation (Amendment) Bill, 1991                                                                                                                                                           ",NA,22-11-1991,11/22/1991,2/12/1991,2/12/1991,12/12/1991,12/12/1991,303,303,20-12-1991,12/20/1991,311,311,54,Ordinary Bill,Passed                        ,NA,NA,NA
186,1991,"The Punjab Appropriation (No.2) Bill, 1991                                                                                                                                                              ",NA,26-11-1991,11/26/1991,26-11-1991,11/26/1991,10/12/1991,10/12/1991,-45,0,13-12-1991,12/13/1991,17,17,52,Money Bill,Passed                        ,NA,NA,NA
198,1991,"The Monopolies and Restrictive Trade Practices (Amendment) Bill, 1991                                                                                                                                   ",NA,16-12-1991,12/16/1991,20-12-1991,12/20/1991,21-12-1991,12/21/1991,1,1,28-12-1991,12/28/1991,8,8,58,Ordinary Bill,Passed                        ,NA,NA,NA
203,1991,"The Constitution (Seventy-fourth Amendment) Bill, 1991, insertion of new articles 239AA and 239AB                                                                                                       ",HOME AFFAIRS,16-12-1991,12/16/1991,20-12-1991,12/20/1991,20-12-1991,12/20/1991,0,0,21-12-1991,12/21/1991,1,1,                    ,Constitutional Amendment Bill,Passed                        ,NA,NA,NA
204,1991,"The Government of National Capital Territory Bill, 1991                                                                                                                                                 ",HOME AFFAIRS,16-12-1991,12/16/1991,20-12-1991,12/20/1991,21-12-1991,12/21/1991,1,1,2/1/1992,2/1/1992,43,43,1,Ordinary Bill,Passed                        ,NA,NA,NA
205,1991,"The Customs (Amendment) Bill, 1991                                                                                                                                                                      ",NA,16-12-1991,12/16/1991,17-12-1991,12/17/1991,18-12-1991,12/18/1991,1,1,21-12-1991,12/21/1991,4,4,55,Money Bill,Passed                        ,NA,NA,NA
208,1991,"The Betwa River Board (Amendment) Bill, 1991                                                                                                                                                            ",WATER RESOURCES,20-12-1991,12/20/1991,4/8/1993,4/8/1993,19-08-1993,8/19/1993,133,133,27-08-1993,8/27/1993,141,141,49,Ordinary Bill,Passed                        ,NA,NA,NA
209,1991,"The Constitution (Seventy-fifth Amendment) Bill, 1991, Amendment of article 332                                                                                                                         ",HOME AFFAIRS,20-12-1991,12/20/1991,3/12/1992,3/12/1992,3/12/1992,3/12/1992,0,0,4/12/1992,4/12/1992,31,31,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
211,1991,"The Supreme Court Judges (Condtitions of Services) Amendment Bill, 1991                                                                                                                                 ",NA,20-12-1991,12/20/1991,11/12/1993,11/12/1993,21-12-1993,12/21/1993,39,39,26-12-1993,12/26/1993,44,44,72,Money Bill,Passed                        ,NA,NA,NA
212,1991,"The Appropriation (No.5) Bill, 1991                                                                                                                                                                     ",NA,16-12-1991,12/16/1991,16-12-1991,12/16/1991,20-12-1991,12/20/1991,4,4,28-12-1991,12/28/1991,12,12,61,Money Bill,Passed                        ,NA,NA,NA
1,1990,"The Finance Bill, 1990                                                                                                                                                                                  ",NA,NA,#VALUE!,NA,NA,NA,NA,NA,0,NA,NA,NA,0,12,Money Bill,NA,NA,NA,NA
29,1990,"The Jute Manufactures Development Council (Amendment) Bill, 1990                                                                                                                                        ",TEXTILES,28-05-1990,5/28/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
31,1990,"The Code of Criminal Procedure (Amendment) Bill, 1990                                                                                                                                                   ",HOME AFFAIRS,3/12/1990,3/12/1990,21-03-1990,3/21/1990,NA,NA,NA,0,20-04-1990,4/20/1990,30,30,10,Ordinary Bill,Passed                        ,NA,NA,NA
32,1990,"The Coal India (Regulation of Transfers and Velidation ) Bill, 1990                                                                                                                                     ",POWER,30-05-1990,5/30/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
36,1990,"The Appropriation (Railways) Bill, 1990                                                                                                                                                                 ",RAILWAYS,26-03-1990,3/26/1990,26-03-1990,3/26/1990,NA,NA,NA,0,28-03-1990,3/28/1990,2,2,5,Money Bill,Passed                        ,NA,NA,NA
37,1990,"The Finance Bill, 1990                                                                                                                                                                                  ",NA,19-03-1990,3/19/1990,17-05-1990,5/17/1990,22-05-1990,5/22/1990,5,5,31-05-1990,5/31/1990,14,14,12,Money Bill,Passed                        ,NA,NA,NA
38,1990,"The Punjab Appropriation (Vote on Account) Bill, 1990                                                                                                                                                   ",NA,20-03-1990,3/20/1990,20-03-1990,3/20/1990,NA,NA,NA,0,24-03-1990,3/24/1990,4,4,3,Money Bill,Passed                        ,NA,NA,NA
39,1990,"The Punjab Appropriation Bill, 1990                                                                                                                                                                     ",NA,20-03-1990,3/20/1990,20-03-1990,3/20/1990,NA,NA,NA,0,24-03-1990,3/24/1990,4,4,4,Money Bill,Passed                        ,NA,NA,NA
40,1990,"The Appropriation (Railways) No., 2 Bill, 1990                                                                                                                                                          ",RAILWAYS,26-03-1990,3/26/1990,26-03-1990,3/26/1990,NA,NA,NA,0,28-03-1990,3/28/1990,2,2,6,Money Bill,Passed                        ,NA,NA,NA
45,1990,"The Appropriation (Vote on Account) Bill, 1990                                                                                                                                                          ",NA,28-03-1990,3/28/1990,28-03-1990,3/28/1990,NA,NA,NA,0,29-03-1990,3/29/1990,1,1,7,Money Bill,Passed                        ,NA,NA,NA
46,1990,"The Appropriation Bill, 1990                                                                                                                                                                            ",NA,28-03-1990,3/28/1990,28-03-1990,3/28/1990,NA,NA,NA,0,29-03-1990,3/29/1990,1,1,8,Money Bill,Passed                        ,NA,NA,NA
49,1990,"The Constitution (Sixty-fifth Amendment) Bill, 1990                                                                                                                                                     ",HOME AFFAIRS,4/4/1990,4/4/1990,4/5/1990,4/5/1990,NA,NA,NA,0,16-04-1990,4/16/1990,11,11,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
53,1990,"The Constitution (Sixty-sixth Amendment) Bill, 1990                                                                                                                                                     ",AGRICULTURE,19-04-1990,4/19/1990,30-05-1990,5/30/1990,NA,NA,NA,0,6/7/1990,6/7/1990,8,8,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
58,1990,"The Gold (Control) Repeal Bill, 1990                                                                                                                                                                    ",NA,24-04-1990,4/24/1990,24-05-1990,5/24/1990,NA,NA,NA,0,6/6/1990,6/6/1990,13,13,18,Ordinary Bill,Passed                        ,NA,NA,NA
69,1990,"The Union Duties of Excise (Distribution) Amendment Bill, 1990                                                                                                                                          ",NA,4/5/1990,4/5/1990,24-05-1990,5/24/1990,NA,NA,NA,0,31-05-1990,5/31/1990,7,7,13,Money Bill,Passed                        ,NA,NA,NA
73,1990,"The Appropriation (No.2) Bill, 1990                                                                                                                                                                     ",NA,16-05-1990,5/16/1990,16-05-1990,5/16/1990,NA,NA,NA,0,26-05-1990,5/26/1990,10,10,11,Money Bill,Passed                        ,NA,NA,NA
77,1990,"The Additional Duties of Excise (Goods of Special Importance) Amendment Bill, 1990                                                                                                                      ",NA,5/11/1990,5/11/1990,24-05-1990,5/24/1990,NA,NA,NA,0,31-05-1990,5/31/1990,7,7,14,Money Bill,Passed                        ,NA,NA,NA
93,1990,"The Constitution (Sixty-seventh Amendment) Bill, 1990                                                                                                                                                   ",NA,18-05-1990,5/18/1990,18-05-1990,5/18/1990,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
94,1990,"The National Commission for Women Bill, 1990                                                                                                                                                            ",NA,22-05-1990,5/22/1990,8/9/1990,8/9/1990,NA,NA,NA,0,30-08-1990,8/30/1990,21,21,20,Ordinary Bill,Passed                        ,NA,NA,NA
97,1990,"The Advocates (Amendment) Bill, 1990                                                                                                                                                                    ",NA,22-05-1990,5/22/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
98,1990,"The Constitution (Sixty-eighth Amendment) Bill, 1990                                                                                                                                                    ",NA,23-05-1990,5/23/1990,30-05-1990,5/30/1990,NA,NA,NA,0,6/7/1990,6/7/1990,8,8,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
99,1990,"The Jute Manufacturers Development Council (Amendment) Bill, 1990                                                                                                                                       ",TEXTILES,28-05-1990,5/28/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
100,1990,"The Coal India (Regulation of Transfer and Velidation) Bill, 1990                                                                                                                                       ",NA,30-05-1990,5/30/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
101,1990,"The Constitution (Sixty-ninth Amendment)  Bill, 1990                                                                                                                                                    ",HOME AFFAIRS,28-05-1990,5/28/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
102,1990,"The Citizenship (Amendment) Bill, 1990                                                                                                                                                                  ",HOME AFFAIRS,31-05-1990,5/31/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
103,1990,"The Public LIability Insurance Bill, 1990                                                                                                                                                               ",ENVIRONMENT AND FORESTS,31-05-1990,5/31/1990,1/7/1991,1/7/1991,NA,NA,NA,0,22-01-1991,1/22/1991,15,15,6,Ordinary Bill,Passed                        ,NA,NA,NA
104,1990,"The Chief Election Commissioner and other Elections Commissioners (Condition of Service) Bill, 1990                                                                                                     ",NA,31-05-1990,5/31/1990,8/1/1991,8/1/1991,NA,NA,NA,0,25-01-1991,1/25/1991,-188,0,11,Ordinary Bill,Passed                        ,NA,NA,NA
106,1990,"The Salaries and Allowances of Officers of Parliament (Amendment) Bill, 1990                                                                                                                            ",PARLIAMENTARY  AFFAIRS,30-05-1990,5/30/1990,30-05-1990,5/30/1990,NA,NA,NA,0,6/3/1990,6/3/1990,4,4,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
107,1990,"The Constitution Seventy-second (Amendment) Bill, 1990                                                                                                                                                  ",HOME AFFAIRS,31-05-1990,5/31/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
108,1990,"The Gift Tax Bill, 1990                                                                                                                                                                                 ",NA,31-05-1990,5/31/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Money Bill,NA,NA,NA,NA
124,1990,"The Ruller (Amendment) Bill, 1990                                                                                                                                                                       ",NA,8/8/1990,8/8/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Money Bill,NA,NA,NA,NA
125,1990,The Armed Forces (Jammu & Kashmir) 1990                                                                                                                                                                 ,HOME AFFAIRS,8/8/1990,8/8/1990,8/8/1990,8/8/1990,NA,NA,NA,0,9/10/1990,9/10/1990,33,33,21,Ordinary Bill,Passed                        ,NA,NA,NA
128,1990,"The Constitution (Seventy-third Amendment)   Bill, 1990                                                                                                                                                 ",TEXTILES,16-08-1990,8/16/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
131,1990,"The Multi-State Co-operative Societies (Amendment) Bill, 1990                                                                                                                                           ",AGRICULTURE,16-08-1990,8/16/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
134,1990,"The Contonments (Amendment) Bill, 1990                                                                                                                                                                  ",DEFENCE,20-08-1990,8/20/1990,28-12-1990,12/28/1990,NA,NA,NA,0,15-01-1991,1/15/1991,18,18,1,Ordinary Bill,Passed                        ,NA,NA,NA
135,1990,"The Tobacco Board (Amendment) Bill, 1990                                                                                                                                                                ",NA,20-08-1990,8/20/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
136,1990,"The Tobacco Cess (Amendment) Bill, 1990                                                                                                                                                                 ",NA,20-08-1991,8/20/1991,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Money Bill,Lapsed                        ,NA,NA,NA
140,1990,"The Prevention of illicit traffic in Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 1990                                                                                                  ",NA,30-08-1990,8/30/1990,9/3/1990,9/3/1990,NA,NA,NA,0,13-09-1990,9/13/1990,10,10,26,Ordinary Bill,Passed                        ,NA,NA,NA
141,1990,"The Conservation of Foreign Exchange and Prevention of Smuggling Activites (Amendment) Bill , 1990                                                                                                      ",NA,23-08-1990,8/23/1990,9/3/1990,9/3/1990,NA,NA,NA,0,13-09-1990,9/13/1990,10,10,27,Ordinary Bill,Passed                        ,NA,NA,NA
142,1990,"The Salaries and Allowances of Leaders of Opposition in Parliament (Amendment) Bill, 1990                                                                                                               ",PARLIAMENTARY  AFFAIRS,23-08-1990,8/23/1990,1/10/1991,1/10/1991,NA,NA,NA,0,22-01-1999,1/22/1999,2934,2934,7,Ordinary Bill,Passed                        ,NA,NA,NA
143,1990,"The Tea Companies (Acquisition and Transfer of Sick Tea Units) Amendment Bill, 1990                                                                                                                     ",NA,23-08-1990,8/23/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
144,1990,"The Punjab Appropriation (No. 2) Bill, 1990                                                                                                                                                             ",NA,9/5/1990,9/5/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Money Bill,NA,NA,NA,NA
145,1990,"The Appropriation (No.3) Bill, 1990                                                                                                                                                                     ",NA,9/5/1990,9/5/1990,9/5/1990,9/5/1990,NA,NA,NA,0,9/10/1990,9/10/1990,5,5,22,Money Bill,Passed                        ,NA,NA,NA
151,1990,"The Comptroller and Auditor Generals (Duties, Powers and conitions of Service)) Amendment Bill, 1990                                                                                                    ",NA,27-08-1990,8/27/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Money Bill,NA,NA,NA,NA
152,1990,"The Appropriation (Railways) No. 3 Bill, 1990                                                                                                                                                           ",RAILWAYS,9/5/1990,9/5/1990,9/5/1990,9/5/1990,NA,NA,NA,0,9/10/1990,9/10/1990,5,5,24,Money Bill,Passed                        ,NA,NA,NA
156,1990,"The Constitution (Seventy-fourth Amendment) Bill, 1990                                                                                                                                                  ",NA,9/7/1990,9/7/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
157,1990,"The Constitution (Seventy-fifth Amendment) Bill, 1990                                                                                                                                                   ",HOME AFFAIRS,10/1/1990,10/1/1990,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,NA,NA,NA
158,1990,"The Constitution (Seventy-sixth Amendment) Bill, 1990                                                                                                                                                   ",HOME AFFAIRS,10/4/1990,10/4/1990,10/4/1990,10/4/1990,NA,NA,NA,0,10/4/1990,10/4/1990,0,0,                    ,Ordinary Bill,Passed                        ,NA,NA,NA
181,1990,"The Taxation Laws (Amendment) Bill, 1990                                                                                                                                                                ",NA,27-12-1990,12/27/1990,1/10/1991,1/10/1991,NA,NA,NA,0,15-01-1991,1/15/1991,5,5,2,Money Bill,Passed                        ,NA,NA,NA
203,1990,test                                                                                                                                                                                                    ,AGRICULTURE,12/12/2003,12/12/2003,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Financial Bill,NA,NA,NA,NA
16,1989,".The Appropriation (Railways) Bill, 1989.                                                                                                                                                               ",RAILWAYS,17-03-1989,3/17/1989,17-03-1989,3/17/1989,29-03-1989,3/29/1989,12,12,30-03-1989,3/30/1989,13,13,6,Money Bill,Passed                        ,NA,NA,NA
20,1989,"The Income-Tax (Amendment) Bill, 1989.                                                                                                                                                                  ",NA,13-03-1989,3/13/1989,29-03-1989,3/29/1989,31-03-1989,3/31/1989,2,2,1/4/1989,1/4/1989,-84,0,11,Money Bill,Passed                        ,NA,NA,NA
21,1989,"The Appropriation (Vote on Account) Bill, 1989.                                                                                                                                                         ",NA,17-03-1989,3/17/1989,17-03-1989,3/17/1989,29-03-1989,3/29/1989,12,12,30-03-1989,3/30/1989,13,13,4,Money Bill,Passed                        ,NA,NA,NA
22,1989,"The Appropriation (Railways) No. 2 Bill, 1989.                                                                                                                                                          ",RAILWAYS,17-03-1989,3/17/1989,17-03-1989,3/17/1989,29-03-1989,3/29/1989,12,12,30-03-1989,3/30/1989,13,13,7,Money Bill,Passed                        ,NA,NA,NA
25,1989,"The Appropriation Bill, 1989.                                                                                                                                                                           ",NA,27-03-1989,3/27/1989,27-03-1989,3/27/1989,29-03-1989,3/29/1989,2,2,30-03-1989,3/30/1989,3,3,5,Money Bill,Passed                        ,NA,NA,NA
26,1989,"The Punjab Appropriation (Vote on Account) Bill, 1989.                                                                                                                                                  ",NA,27-03-1989,3/27/1989,27-03-1989,3/27/1989,29-03-1989,3/29/1989,2,2,31-03-1989,3/31/1989,4,4,9,Money Bill,Passed                        ,NA,NA,NA
27,1989,"The Punjab Appropriation Bill, 1989.                                                                                                                                                                    ",NA,27-03-1989,3/27/1989,27-03-1989,3/27/1989,29-03-1989,3/29/1989,2,2,31-03-1989,3/31/1989,4,4,8,Money Bill,Passed                        ,NA,NA,NA
28,1989,"The Delhi Municipal Law (Amendment) Bill, 1989.                                                                                                                                                         ",HOME AFFAIRS,27-03-1989,3/27/1989,29-03-1989,3/29/1989,30-03-1989,3/30/1989,1,1,31-03-1989,3/31/1989,2,2,10,Money Bill,Passed                        ,NA,NA,NA
29,1989,"The Representation of the People (Amendment) Bill, 1989.                                                                                                                                                ",NA,6/4/1989,6/4/1989,11/5/1989,11/5/1989,12/5/1989,12/5/1989,30,30,22-05-1989,5/22/1989,-167,0,21,Ordinary Bill,Passed                        ,NA,NA,NA
30,1989,"The Chandigarh Disturbed Areas (Amendment) Bill, 1989.                                                                                                                                                  ",HOME AFFAIRS,4/4/1989,4/4/1989,10/5/1989,10/5/1989,11/5/1989,11/5/1989,31,31,18-05-1989,5/18/1989,-140,0,15,Ordinary Bill,Passed                        ,NA,NA,NA
