Bill No.,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Introduction Proper,Date of Passing in Lok Sabha,Date of Passing in Lok Sabha Proper,Date of Passing in Rajya Sabha,Date of Passing in Rajya Sabha Proper,Diff RS-LS,Diff RS-LS Cleaned,Date of Assent,Date of Assent Proper,Diff Ass-LS,Diff Ass-LS Clean,Act No.,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
129,1999,"The Vice-President`s Pension (Amendment) Bill, 1999                                                                                                                                                     ",HOME AFFAIRS,12/10/1999,12/10/1999,20-12-1999,12/20/1999,23-12-1999,12/23/1999,3,3,30-12-1999,12/30/1999,10,10,45,Money Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/129_1999.pdf,NA,NA
134,1999,"The Appropriation  (No. 4) Bill, 1999                                                                                                                                                                   ",NA,12/9/1999,12/9/1999,12/9/1999,12/9/1999,14-12-1999,12/14/1999,5,5,17-12-1999,12/17/1999,8,8,37,Money Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/134_1999.pdf,NA,NA
135,1999,"The Information Technology Bill, 1999                                                                                                                                                                   ",NA,16-12-1999,12/16/1999,16-05-2000,5/16/2000,17-05-2000,5/17/2000,1,1,6/9/2000,6/9/2000,24,24,21,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/135_1999.pdf,NA,NA
136,1999,"The Small Industries Development Bank of India (Amendment) Bill, 1999                                                                                                                                   ",NA,17-12-1999,12/17/1999,22-12-1999,12/22/1999,28-02-2000,2/28/2000,68,68,27-03-2000,3/27/2000,96,96,7,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/136_1999.pdf,NA,NA
137,1999,"The Central Vigilance Commission Bill,1999                                                                                                                                                              ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",20-12-1999,12/20/1999,26-02-2003,2/26/2003,8/7/2003,8/7/2003,162,162,9/11/2003,9/11/2003,197,197,45,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/137_1999.pdf,NA,NA
138,1999,"The Electricity Regulatory Commission (Amendment)Bill,1999                                                                                                                                              ",POWER,23-12-1999,12/23/1999,3/2/2001,3/2/2001,8/7/2001,8/7/2001,158,158,29-08-2001,8/29/2001,180,180,21,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/138_1999.pdf,NA,NA
139,1999,"The Companies (Second Amendment) Bill,1999                                                                                                                                                              ",NA,23-12-1999,12/23/1999,27-11-2000,11/27/2000,30-11-2000,11/30/2000,3,3,13-12-2000,12/13/2000,16,16,53,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/139_1999.pdf,NA,NA
1,1998,"The Finance Bill, 1998                                                                                                                                                                                  ",NA,25-03-1998,3/25/1998,26-03-1998,3/26/1998,27-03-1998,3/27/1998,1,1,29-03-1998,3/29/1998,3,3,1,Financial Bill,Passed                        ,NA,NA,NA
2,1998,"The Appropriation (Railways) Vote on Account Bill,1998                                                                                                                                                  ",RAILWAYS,26-03-1998,3/26/1998,26-03-1998,3/26/1998,27-03-1998,3/27/1998,1,1,29-03-1998,3/29/1998,3,3,2,Money Bill,Passed                        ,NA,NA,NA
3,1998,"The Appropriation (Railways) Bill,1998                                                                                                                                                                  ",RAILWAYS,26-03-1998,3/26/1998,26-03-1998,3/26/1998,27-03-1998,3/27/1998,1,1,29-03-1998,3/29/1998,3,3,3,Money Bill,Passed                        ,NA,NA,NA
4,1998,"The Contingency Fund of India  (Amendment)  Bill,1998                                                                                                                                                   ",NA,26-03-1998,3/26/1998,26-03-1998,3/26/1998,27-03-1998,3/27/1998,1,1,29-03-1998,3/29/1998,3,3,4,Money Bill,Passed                        ,NA,NA,NA
5,1998,"The Appropriation (Vote on Account) Bill, 1998                                                                                                                                                          ",NA,26-03-1998,3/26/1998,26-03-1998,3/26/1998,27-03-1998,3/27/1998,1,1,29-03-1998,3/29/1998,3,3,5,Money Bill,Passed                        ,NA,NA,NA
6,1998,"The Appropriation Bill, 1998                                                                                                                                                                            ",NA,26-03-1998,3/26/1998,26-03-1998,3/26/1998,27-03-1998,3/27/1998,1,1,29-03-1998,3/29/1998,3,3,6,Financial Bill,Passed                        ,NA,NA,NA
7,1998,"The Income - Tax (Amendment) Bill, 1998                                                                                                                                                                 ",NA,27-03-1998,3/27/1998,30-03-1998,3/30/1998,4/2/1998,4/2/1998,3,3,4/6/1998,4/6/1998,7,7,7,Money Bill,Passed                        ,NA,NA,NA
19,1998,"The Finance (No.2) Amendment Bill, 1999                                                                                                                                                                 ",FINANCE,26-02-1999,2/26/1999,3/5/1999,3/5/1999,3/10/1999,3/10/1999,5,5,18-03-1999,3/18/1999,13,13,12,Money Bill,Assented,NA,NA,NA
37,1998,"The Lotteries (Regulation) Bill, 1998                                                                                                                                                                   ",HOME AFFAIRS,27-05-1998,5/27/1998,7/4/1998,7/4/1998,7/7/1998,7/7/1998,3,3,7/7/1998,7/7/1998,3,3,17,Ordinary Bill,Passed                        ,NA,NA,NA
38,1998,"The National Institute of Pharmaceutical Education and Research Bill, 1998                                                                                                                              ",CHEMICALS AND FERTILIZERS,28-05-1998,5/28/1998,6/4/1998,6/4/1998,6/11/1998,6/11/1998,7,7,26-06-1998,6/26/1998,22,22,13,Ordinary Bill,Passed                        ,NA,NA,NA
39,1998,"The Essential Commodities (Amendment ) Bill, 1998                                                                                                                                                       ",NA,29-05-1998,5/29/1998,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,Withdrawn                     ,NA,NA,NA
40,1998,"The High Court and Supreme Court Judges (Conditions of Service) Amendment Bill, 1998                                                                                                                    ",NA,28-05-1998,5/28/1998,7/4/1998,7/4/1998,7/6/1998,7/6/1998,2,2,7/7/1998,7/7/1998,3,3,18,Ordinary Bill,Passed                        ,NA,NA,NA
44,1998,"The Finance (Amendment) Bill, 1998                                                                                                                                                                      ",NA,29-05-1998,5/29/1998,7/4/1998,7/4/1998,7/6/1998,7/6/1998,2,2,7/7/1998,7/7/1998,3,3,16,Money Bill,Passed                        ,NA,NA,NA
